,waldStat_2,df_2,pvalue_2,fdr_2,gene_id
Potri.001G371900,29668.87908,8,0,0,Potri.001G371900
Potri.006G123500,3004.450011,8,0,0,Potri.006G123500
Potri.002G257900,2518.987392,8,0,0,Potri.002G257900
Potri.001G068100,2348.927962,8,0,0,Potri.001G068100
Potri.009G092300,2082.572962,8,0,0,Potri.009G092300
Potri.011G069600,2023.043218,8,0,0,Potri.011G069600
Potri.009G027300,1959.27995,8,0,0,Potri.009G027300
Potri.018G103900,1952.715646,8,0,0,Potri.018G103900
Potri.002G033000,1823.470142,8,0,0,Potri.002G033000
Potri.002G008800,1794.592732,8,0,0,Potri.002G008800
Potri.001G416300,1719.576076,8,0,0,Potri.001G416300
Potri.019G038268,1655.879355,8,0,0,Potri.019G038268
Potri.003G070200,1644.222099,8,0,0,Potri.003G070200
Potri.010G132500,1596.862988,8,0,0,Potri.010G132500
Potri.005G233600,1585.035329,8,0,0,Potri.005G233600
Potri.009G006500,1535.924612,8,0,0,Potri.009G006500
Potri.001G235500,1521.561559,8,0,0,Potri.001G235500
Potri.006G181900,1508.967626,8,0,0,Potri.006G181900
Potri.009G009500,1501.330848,8,0,0,Potri.009G009500
Potri.015G012500,1471.507968,8,0,0,Potri.015G012500
Potri.005G061600,1442.342865,8,0,0,Potri.005G061600
Potri.014G108300,1438.193789,8,0,0,Potri.014G108300
Potri.013G157900,1402.054932,8,0,0,Potri.013G157900
Potri.005G129500,1375.479531,8,0,0,Potri.005G129500
Potri.011G068300,1371.43023,8,0,0,Potri.011G068300
Potri.002G034400,1368.165304,8,0,0,Potri.002G034400
Potri.008G201600,1345.777512,8,0,0,Potri.008G201600
Potri.004G211900,1330.691533,8,0,0,Potri.004G211900
Potri.010G187600,1326.892883,8,0,0,Potri.010G187600
Potri.002G101200,1321.368403,8,0,0,Potri.002G101200
Potri.002G049400,1306.697025,8,0,0,Potri.002G049400
Potri.019G014405,1258.833847,8,0,0,Potri.019G014405
Potri.013G083800,1244.458025,8,0,0,Potri.013G083800
Potri.009G011100,1221.405419,8,0,0,Potri.009G011100
Potri.016G051900,1218.281454,8,0,0,Potri.016G051900
Potri.001G087701,1216.240845,8,0,0,Potri.001G087701
Potri.014G092300,1205.426665,8,0,0,Potri.014G092300
Potri.004G007600,1192.774185,8,0,0,Potri.004G007600
Potri.016G112000,1187.20805,8,0,0,Potri.016G112000
Potri.002G029100,1168.479935,8,0,0,Potri.002G029100
Potri.009G061100,1165.201662,8,0,0,Potri.009G061100
Potri.006G021600,1163.931383,8,0,0,Potri.006G021600
Potri.015G034700,1135.414813,8,0,0,Potri.015G034700
Potri.014G096200,1112.859731,8,0,0,Potri.014G096200
Potri.019G055800,1094.941293,8,0,0,Potri.019G055800
Potri.006G224800,1090.949939,8,0,0,Potri.006G224800
Potri.016G064600,1087.548188,8,0,0,Potri.016G064600
Potri.001G416800,1087.192827,8,0,0,Potri.001G416800
Potri.008G197000,1078.265355,8,0,0,Potri.008G197000
Potri.008G006500,1076.970642,8,0,0,Potri.008G006500
Potri.008G112300,1074.887828,8,0,0,Potri.008G112300
Potri.001G063309,1067.733694,8,0,0,Potri.001G063309
Potri.004G196500,1066.516697,8,0,0,Potri.004G196500
Potri.010G069000,1062.623891,8,0,0,Potri.010G069000
Potri.008G006000,1052.605397,8,0,0,Potri.008G006000
Potri.001G055100,1048.584947,8,0,0,Potri.001G055100
Potri.008G182700,1047.82022,8,0,0,Potri.008G182700
Potri.008G151700,1040.426264,8,0,0,Potri.008G151700
Potri.014G032300,1038.548705,8,0,0,Potri.014G032300
Potri.015G143600,1027.896438,8,0,0,Potri.015G143600
Potri.006G033500,1018.851785,8,0,0,Potri.006G033500
Potri.001G403600,1011.948418,8,0,0,Potri.001G403600
Potri.007G038300,1011.546555,8,0,0,Potri.007G038300
Potri.001G050100,1008.481974,8,0,0,Potri.001G050100
Potri.006G056300,1002.839841,8,0,0,Potri.006G056300
Potri.014G029900,1001.631394,8,0,0,Potri.014G029900
Potri.008G069700,999.2849352,8,0,0,Potri.008G069700
Potri.006G178200,995.5463536,8,0,0,Potri.006G178200
Potri.018G006000,969.9316412,8,0,0,Potri.018G006000
Potri.002G257700,968.412371,8,0,0,Potri.002G257700
Potri.002G119300,961.3129344,8,0,0,Potri.002G119300
Potri.018G099800,956.4443324,8,0,0,Potri.018G099800
Potri.008G100300,951.1126171,8,0,0,Potri.008G100300
Potri.006G139500,940.6425246,8,0,0,Potri.006G139500
Potri.007G107200,934.3391693,8,0,0,Potri.007G107200
Potri.006G035400,927.0638369,8,0,0,Potri.006G035400
Potri.003G083600,922.0736474,8,0,0,Potri.003G083600
Potri.010G076200,914.8873099,8,0,0,Potri.010G076200
Potri.010G004400,912.6582786,8,0,0,Potri.010G004400
Potri.001G112200,908.6757845,8,0,0,Potri.001G112200
Potri.006G136700,904.706356,8,0,0,Potri.006G136700
Potri.009G140600,902.1597754,8,0,0,Potri.009G140600
Potri.005G257900,894.2973945,8,0,0,Potri.005G257900
Potri.006G278700,894.1056105,8,0,0,Potri.006G278700
Potri.006G076200,884.2717355,8,0,0,Potri.006G076200
Potri.001G099400,878.8302619,8,0,0,Potri.001G099400
Potri.012G080000,866.0542025,8,0,0,Potri.012G080000
Potri.019G049201,864.5954767,8,0,0,Potri.019G049201
Potri.004G135300,858.4739101,8,0,0,Potri.004G135300
Potri.013G066200,857.7794503,8,0,0,Potri.013G066200
Potri.005G205700,847.6410913,8,0,0,Potri.005G205700
Potri.008G038900,847.2338435,8,0,0,Potri.008G038900
Potri.009G074300,845.9974478,8,0,0,Potri.009G074300
Potri.006G052600,841.6535109,8,0,0,Potri.006G052600
Potri.015G069000,837.9700461,8,0,0,Potri.015G069000
Potri.007G043900,833.6829646,8,0,0,Potri.007G043900
Potri.008G026400,832.6648786,8,0,0,Potri.008G026400
Potri.005G137500,829.5302118,8,0,0,Potri.005G137500
Potri.011G165100,825.1753684,8,0,0,Potri.011G165100
Potri.006G016200,824.0500452,8,0,0,Potri.006G016200
Potri.007G039100,821.6412099,8,0,0,Potri.007G039100
Potri.002G025200,818.0506912,8,0,0,Potri.002G025200
Potri.001G280200,811.2323583,8,0,0,Potri.001G280200
Potri.016G032400,809.6044955,8,0,0,Potri.016G032400
Potri.007G039000,809.4419495,8,0,0,Potri.007G039000
Potri.012G142300,806.6558932,8,0,0,Potri.012G142300
Potri.001G467600,786.7462909,8,0,0,Potri.001G467600
Potri.003G138100,786.7459283,8,0,0,Potri.003G138100
Potri.008G012400,783.4256378,8,0,0,Potri.008G012400
Potri.011G153700,776.9233019,8,0,0,Potri.011G153700
Potri.002G189200,774.0202641,8,0,0,Potri.002G189200
Potri.011G129100,773.8658213,8,0,0,Potri.011G129100
Potri.009G010400,770.4774577,8,0,0,Potri.009G010400
Potri.018G108200,768.4719148,8,0,0,Potri.018G108200
Potri.006G275000,766.5617956,8,0,0,Potri.006G275000
Potri.007G135300,764.5574874,8,0,0,Potri.007G135300
Potri.005G141300,758.7413511,8,0,0,Potri.005G141300
Potri.014G076300,758.0081433,8,0,0,Potri.014G076300
Potri.005G199600,747.575345,8,0,0,Potri.005G199600
Potri.014G091800,745.1405858,8,0,0,Potri.014G091800
Potri.002G146400,743.4186449,8,0,0,Potri.002G146400
Potri.019G034800,738.9649283,8,0,0,Potri.019G034800
Potri.015G069200,735.7507505,8,0,0,Potri.015G069200
Potri.007G014400,734.9547533,8,0,0,Potri.007G014400
Potri.008G069400,734.2655906,8,0,0,Potri.008G069400
Potri.003G155200,731.1416692,8,0,0,Potri.003G155200
Potri.007G100100,729.7512,8,0,0,Potri.007G100100
Potri.010G041100,724.9666135,8,0,0,Potri.010G041100
Potri.014G024700,722.7960861,8,0,0,Potri.014G024700
Potri.019G072800,722.7322323,8,0,0,Potri.019G072800
Potri.002G099200,716.0679713,8,0,0,Potri.002G099200
Potri.012G127700,714.6775801,8,0,0,Potri.012G127700
Potri.016G020000,712.9847574,8,0,0,Potri.016G020000
Potri.017G143215,709.446318,8,0,0,Potri.017G143215
Potri.001G410600,708.7704767,8,0,0,Potri.001G410600
Potri.014G115500,703.3473112,8,0,0,Potri.014G115500
Potri.001G358200,701.2704852,8,0,0,Potri.001G358200
Potri.001G037400,701.0715424,8,0,0,Potri.001G037400
Potri.002G154100,700.239317,8,0,0,Potri.002G154100
Potri.002G192500,696.6153634,8,0,0,Potri.002G192500
Potri.001G472800,695.4899516,8,0,0,Potri.001G472800
Potri.011G079400,687.6021084,8,0,0,Potri.011G079400
Potri.010G001600,687.0310209,8,0,0,Potri.010G001600
Potri.002G085100,677.8885598,8,0,0,Potri.002G085100
Potri.002G063700,675.2841945,8,0,0,Potri.002G063700
Potri.008G030200,674.3621704,8,0,0,Potri.008G030200
Potri.006G152700,672.6336928,8,0,0,Potri.006G152700
Potri.010G188100,672.370163,8,0,0,Potri.010G188100
Potri.016G134600,664.2057065,8,0,0,Potri.016G134600
Potri.002G112100,661.8439591,8,0,0,Potri.002G112100
Potri.013G153400,661.4452169,8,0,0,Potri.013G153400
Potri.005G003300,657.6787107,8,0,0,Potri.005G003300
Potri.002G123500,656.6237578,8,0,0,Potri.002G123500
Potri.007G046700,653.5182184,8,0,0,Potri.007G046700
Potri.001G158000,651.8316289,8,0,0,Potri.001G158000
Potri.008G029800,651.6866014,8,0,0,Potri.008G029800
Potri.014G103600,651.6393889,8,0,0,Potri.014G103600
Potri.006G129200,647.9118429,8,0,0,Potri.006G129200
Potri.005G232700,647.416686,8,0,0,Potri.005G232700
Potri.010G221600,641.132507,8,0,0,Potri.010G221600
Potri.002G185300,640.4314685,8,0,0,Potri.002G185300
Potri.010G148500,638.9387605,8,0,0,Potri.010G148500
Potri.011G134200,638.4742676,8,0,0,Potri.011G134200
Potri.002G260800,636.2069263,8,0,0,Potri.002G260800
Potri.001G297200,631.7501429,8,0,0,Potri.001G297200
Potri.008G032700,631.7116992,8,0,0,Potri.008G032700
Potri.010G105900,628.8832124,8,0,0,Potri.010G105900
Potri.010G042200,627.0877714,8,0,0,Potri.010G042200
Potri.011G165200,626.4741849,8,0,0,Potri.011G165200
Potri.008G099300,626.2724048,8,0,0,Potri.008G099300
Potri.003G214200,625.8746767,8,0,0,Potri.003G214200
Potri.016G006200,621.9432366,8,0,0,Potri.016G006200
Potri.002G240900,619.8730219,8,0,0,Potri.002G240900
