,waldStat_1,df_1,pvalue_1,fdr_1,gene_id
Potri.004G169300,5008.584718,8,0,0,Potri.004G169300
Potri.010G141600,3291.379231,8,0,0,Potri.010G141600
Potri.002G049400,2945.597299,8,0,0,Potri.002G049400
Potri.010G137300,2854.797514,8,0,0,Potri.010G137300
Potri.008G094700,2645.774028,8,0,0,Potri.008G094700
Potri.002G257900,2620.103942,8,0,0,Potri.002G257900
Potri.011G122700,2449.662982,8,0,0,Potri.011G122700
Potri.001G079600,2442.059696,8,0,0,Potri.001G079600
Potri.002G008800,2103.094303,8,0,0,Potri.002G008800
Potri.010G132500,2097.695482,8,0,0,Potri.010G132500
Potri.016G086400,2069.307839,8,0,0,Potri.016G086400
Potri.001G416300,2020.761575,8,0,0,Potri.001G416300
Potri.011G069600,1966.055516,8,0,0,Potri.011G069600
Potri.013G127200,1954.437969,8,0,0,Potri.013G127200
Potri.015G060100,1940.580522,8,0,0,Potri.015G060100
Potri.008G084100,1928.483224,8,0,0,Potri.008G084100
Potri.017G000300,1916.364664,8,0,0,Potri.017G000300
Potri.005G129500,1854.31715,8,0,0,Potri.005G129500
Potri.001G352300,1834.19337,8,0,0,Potri.001G352300
Potri.019G053300,1814.252989,8,0,0,Potri.019G053300
Potri.005G061600,1811.491168,8,0,0,Potri.005G061600
Potri.003G173300,1801.543417,8,0,0,Potri.003G173300
Potri.006G056300,1799.716149,8,0,0,Potri.006G056300
Potri.003G070200,1696.525978,8,0,0,Potri.003G070200
Potri.014G108300,1632.795737,8,0,0,Potri.014G108300
Potri.009G009500,1587.603131,8,0,0,Potri.009G009500
Potri.008G144900,1576.334676,8,0,0,Potri.008G144900
Potri.010G224100,1560.373855,8,0,0,Potri.010G224100
Potri.006G072900,1552.058069,8,0,0,Potri.006G072900
Potri.001G162100,1529.916071,8,0,0,Potri.001G162100
Potri.013G157900,1512.007569,8,0,0,Potri.013G157900
Potri.009G006500,1508.849108,8,0,0,Potri.009G006500
Potri.015G012500,1487.551538,8,0,0,Potri.015G012500
Potri.009G092300,1470.578229,8,0,0,Potri.009G092300
Potri.003G074700,1435.482215,8,0,0,Potri.003G074700
Potri.005G001100,1381.671944,8,0,0,Potri.005G001100
Potri.001G416800,1327.100652,8,0,0,Potri.001G416800
Potri.001G361500,1303.930938,8,0,0,Potri.001G361500
Potri.006G136700,1297.809416,8,0,0,Potri.006G136700
Potri.015G034700,1279.634731,8,0,0,Potri.015G034700
Potri.015G143600,1273.715946,8,0,0,Potri.015G143600
Potri.003G006000,1258.21296,8,0,0,Potri.003G006000
Potri.008G156800,1222.121239,8,0,0,Potri.008G156800
Potri.001G403600,1215.44794,8,0,0,Potri.001G403600
Potri.010G076200,1212.658538,8,0,0,Potri.010G076200
Potri.008G182700,1187.511497,8,0,0,Potri.008G182700
Potri.011G068300,1174.919792,8,0,0,Potri.011G068300
Potri.001G304800,1160.255716,8,0,0,Potri.001G304800
Potri.002G109200,1151.421183,8,0,0,Potri.002G109200
Potri.004G007600,1147.54812,8,0,0,Potri.004G007600
Potri.016G033200,1143.871765,8,0,0,Potri.016G033200
Potri.003G183900,1102.460678,8,0,0,Potri.003G183900
Potri.010G184000,1095.794309,8,0,0,Potri.010G184000
Potri.009G099800,1095.257659,8,0,0,Potri.009G099800
Potri.016G051900,1075.9264,8,0,0,Potri.016G051900
Potri.006G120400,1068.435668,8,0,0,Potri.006G120400
Potri.008G136600,1061.477047,8,0,0,Potri.008G136600
Potri.014G027900,1050.798176,8,0,0,Potri.014G027900
Potri.014G092300,1031.0447,8,0,0,Potri.014G092300
Potri.006G033300,1024.138866,8,0,0,Potri.006G033300
Potri.009G152800,1019.50046,8,0,0,Potri.009G152800
Potri.008G038100,1019.397169,8,0,0,Potri.008G038100
Potri.007G032700,989.8812157,8,0,0,Potri.007G032700
Potri.008G201600,961.6366829,8,0,0,Potri.008G201600
Potri.008G060600,949.522664,8,0,0,Potri.008G060600
Potri.011G165100,932.9352406,8,0,0,Potri.011G165100
Potri.001G237200,930.6539543,8,0,0,Potri.001G237200
Potri.006G067000,906.7284573,8,0,0,Potri.006G067000
Potri.007G107200,904.4224294,8,0,0,Potri.007G107200
Potri.007G012200,893.1090087,8,0,0,Potri.007G012200
Potri.001G112200,890.7231112,8,0,0,Potri.001G112200
Potri.008G006000,883.6722677,8,0,0,Potri.008G006000
Potri.013G083800,879.1638789,8,0,0,Potri.013G083800
Potri.001G049100,877.0625725,8,0,0,Potri.001G049100
Potri.008G188800,860.4503779,8,0,0,Potri.008G188800
Potri.004G190900,854.3607898,8,0,0,Potri.004G190900
Potri.018G018400,853.4666649,8,0,0,Potri.018G018400
Potri.009G074300,830.6978741,8,0,0,Potri.009G074300
Potri.012G080000,830.6080481,8,0,0,Potri.012G080000
Potri.012G142300,823.4105085,8,0,0,Potri.012G142300
Potri.011G096500,822.7472901,8,0,0,Potri.011G096500
Potri.019G130700,821.2572497,8,0,0,Potri.019G130700
Potri.010G095900,816.9752331,8,0,0,Potri.010G095900
Potri.010G174200,810.7389615,8,0,0,Potri.010G174200
Potri.001G107000,805.9011919,8,0,0,Potri.001G107000
Potri.010G001600,804.3723185,8,0,0,Potri.010G001600
Potri.007G098500,795.7784809,8,0,0,Potri.007G098500
Potri.006G152700,786.5379802,8,0,0,Potri.006G152700
Potri.003G084100,782.7597579,8,0,0,Potri.003G084100
Potri.001G361600,778.8221259,8,0,0,Potri.001G361600
Potri.004G138400,776.7793223,8,0,0,Potri.004G138400
Potri.002G101200,776.5139482,8,0,0,Potri.002G101200
Potri.001G121400,768.7614443,8,0,0,Potri.001G121400
Potri.010G042200,765.2676306,8,0,0,Potri.010G042200
Potri.017G143215,764.9403954,8,0,0,Potri.017G143215
Potri.003G073500,753.0265856,8,0,0,Potri.003G073500
Potri.007G038300,746.4065423,8,0,0,Potri.007G038300
Potri.T002066,741.9858659,8,0,0,Potri.T002066
Potri.002G036200,741.2041978,8,0,0,Potri.002G036200
Potri.011G079400,730.5866619,8,0,0,Potri.011G079400
Potri.019G049201,720.9238204,8,0,0,Potri.019G049201
Potri.004G058900,714.9402904,8,0,0,Potri.004G058900
Potri.016G125500,714.2811004,8,0,0,Potri.016G125500
Potri.017G029000,713.2379281,8,0,0,Potri.017G029000
Potri.005G199600,687.3918579,8,0,0,Potri.005G199600
Potri.019G072800,685.2649626,8,0,0,Potri.019G072800
Potri.003G132000,676.4950418,8,0,0,Potri.003G132000
