Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.002G049400,86.18056542,2,0,0.5085138,0,
Potri.002G101200,122.475695,2,0,0.794509279,0,
Potri.002G138900,85.06248309,2,0,1.185557407,0,
Potri.002G233400,87.82889209,2,0,1.052638553,0,
Potri.002G239500,93.00637333,2,0,0.790261494,0,
Potri.003G120600,125.1705311,2,0,0.480014552,0,
Potri.003G205400,84.07589198,2,0,0.974450221,0,
Potri.005G033600,159.8092696,2,0,1.466808204,0,
Potri.005G230900,75.0365063,2,0,0.951732324,0,
Potri.006G018000,165.5929563,2,0,1.345803818,0,MAP70-5
Potri.006G061700,103.040237,2,0,0.420525433,0,
Potri.006G200400,140.7659663,3,0,1.363193515,0,
Potri.007G046100,94.9771902,2,0,0.703987901,0,
Potri.007G087200,75.13700783,2,0,0.693972405,0,
Potri.008G092700,87.19613727,2,0,0.921963302,0,
Potri.008G170800,128.1154659,2,0,1.353318209,0,
Potri.009G098000,81.33923901,2,0,2.194635077,0,
Potri.009G164300,79.39240924,2,0,1.186925219,0,
Potri.010G058200,88.94270367,2,0,1.269098474,0,
Potri.010G188100,84.60934256,2,0,0.621336221,0,
Potri.011G026900,100.8395058,2,0,1.502197398,0,
Potri.012G123900,88.70183155,2,0,2.299751822,0,
Potri.012G135100,81.75278415,2,0,0.973729707,0,
Potri.012G140800,75.65274342,2,0,0.625837492,0,
Potri.013G041000,81.59676739,2,0,0.712857513,0,
Potri.014G035800,75.00233795,2,0,0.435528956,0,
Potri.014G109900,164.6470694,2,0,2.210656719,0,
Potri.016G006900,88.86050134,2,0,1.525237793,0,
Potri.016G051500,175.4315335,2,0,1.101370762,0,
Potri.016G066600,196.1152194,3,0,1.700012924,0,
Potri.016G125500,156.8678381,2,0,1.383050138,0,
Potri.017G101300,89.98049961,2,0,2.260382725,0,
Potri.018G104400,97.58709277,2,0,1.401148224,0,
Potri.019G053300,198.3396597,2,0,1.365802677,0,
Potri.019G074400,101.6316516,2,0,1.650759312,0,
Potri.019G102900,94.73619208,2,0,1.157366787,0,
Potri.006G129200,73.86133002,2,1.11E-16,0.755623268,6.75E-14,
Potri.018G127300,73.69959341,2,1.11E-16,1.697803193,6.75E-14,
Potri.006G200900,72.07280506,2,2.22E-16,0.686838987,1.32E-13,
Potri.014G000400,70.70448601,2,4.44E-16,1.234286001,2.57E-13,
Potri.009G075400,69.20448208,2,8.88E-16,0.584270384,5.01E-13,
Potri.006G115200,69.1848015,2,9.99E-16,0.972470794,5.50E-13,GRF3
Potri.014G141100,68.85771294,2,1.11E-15,1.118282032,5.97E-13,
Potri.004G162800,68.35736709,2,1.44E-15,0.793466159,7.58E-13,
Potri.014G076800,68.11450428,2,1.67E-15,0.729878075,8.37E-13,
Potri.015G034700,68.1019455,2,1.67E-15,0.465791004,8.37E-13,
Potri.009G163700,66.28788311,2,4.00E-15,0.718525928,1.97E-12,
Potri.008G213200,65.93195895,2,4.77E-15,1.602563934,2.30E-12,
Potri.006G101300,65.6343016,2,5.55E-15,1.379410869,2.62E-12,
Potri.014G092500,68.78391448,3,7.77E-15,0.823140638,3.59E-12,
Potri.017G144700,64.2909995,2,1.10E-14,0.958652593,4.98E-12,
Potri.014G004500,61.86745638,2,3.67E-14,2.291583775,1.63E-11,RG Lyase
Potri.010G184000,61.82130741,2,3.76E-14,0.709592224,1.64E-11,
Potri.005G185700,60.88239363,2,6.02E-14,1.628288321,2.58E-11,
Potri.006G056300,60.78256004,2,6.33E-14,0.397105315,2.66E-11,
Potri.001G075600,59.80807667,2,1.03E-13,0.642171658,4.25E-11,
Potri.014G094300,63.5034177,3,1.05E-13,0.41044419,4.25E-11,
Potri.007G054100,58.71781789,2,1.78E-13,0.580401385,7.08E-11,
Potri.004G007600,58.5061049,2,1.98E-13,0.476936808,7.61E-11,
Potri.004G037000,58.5315552,2,1.95E-13,1.777723606,7.61E-11,
Potri.002G020500,58.14253435,2,2.37E-13,1.061133371,8.98E-11,
Potri.003G188500,57.68529421,2,2.98E-13,0.822097559,1.11E-10,
Potri.014G147000,57.60840306,2,3.09E-13,1.040787241,1.14E-10,
Potri.006G115400,57.27700087,2,3.65E-13,0.388663783,1.32E-10,
Potri.006G139500,56.31800855,2,5.90E-13,0.490769133,2.10E-10,
Potri.005G243400,56.23250666,2,6.16E-13,0.958687733,2.16E-10,
Potri.001G292900,55.59273547,2,8.48E-13,1.113664695,2.92E-10,
