,waldStat,df,pvalue,logFC1_2,FDR
Potri.009G061100,156.9474104,1,0,-6.595527796,0
Potri.009G078200,150.9121968,1,0,-4.05108911,0
Potri.001G097600,144.9094061,1,0,-5.789714595,0
Potri.008G038200,124.5705292,1,0,3.638777937,0
Potri.002G189200,123.5791592,1,0,1.900240314,0
Potri.006G033500,119.6300604,1,0,-4.428081348,0
Potri.010G224100,113.8372286,1,0,2.869501154,0
Potri.013G042800,112.4318657,1,0,2.891613591,0
Potri.006G178200,111.9757183,1,0,-2.472463996,0
Potri.014G114700,109.2431423,1,0,1.859254442,0
Potri.005G218900,108.3117255,1,0,2.346057868,0
Potri.019G034800,107.1114687,1,0,-4.868283237,0
Potri.001G450600,105.1901814,1,0,4.763560977,0
Potri.001G036900,104.5006024,1,0,2.358678446,0
Potri.012G127700,104.4411323,1,0,4.736593032,0
Potri.003G192500,102.4721031,1,0,-3.540094446,0
Potri.002G085100,101.361999,1,0,-4.68888965,0
Potri.005G120700,91.31503626,1,0,-3.834076754,0
Potri.019G130700,90.08123427,1,0,2.357922652,0
Potri.005G208500,88.74030665,1,0,-4.713924924,0
Potri.019G014405,87.41060057,1,0,-3.100834926,0
Potri.016G111800,85.13874539,1,0,5.38442749,0
Potri.003G181400,84.75260614,1,0,2.095654782,0
Potri.003G161900,84.54005177,1,0,2.075538035,0
Potri.001G077160,83.98261853,1,0,-4.461623148,0
Potri.001G032500,81.92815447,1,0,-3.912389036,0
Potri.001G141701,81.53313023,1,0,-2.243759635,0
Potri.010G122200,80.90913846,1,0,-3.775118744,0
Potri.008G201600,80.54725942,1,0,2.373547254,0
Potri.005G233600,78.99081249,1,0,-2.256921846,0
Potri.012G094600,78.56963833,1,0,-1.192728974,0
Potri.007G022700,78.33118733,1,0,-3.191167808,0
Potri.015G004800,75.73328303,1,0,-3.327470138,0
Potri.009G034700,75.55345979,1,0,2.118830302,0
Potri.005G021900,74.82588128,1,0,2.45727897,0
Potri.018G100300,74.46182722,1,0,-3.603426536,0
Potri.014G052500,73.48576746,1,0,-2.478749953,0
Potri.003G195400,73.24581938,1,0,2.852984754,0
Potri.003G111500,72.71544571,1,0,3.568960561,0
Potri.001G049100,72.6205044,1,0,2.260871265,0
Potri.018G120800,72.3971493,1,0,-3.080539706,0
Potri.001G050100,72.07084469,1,0,-2.568317475,0
Potri.002G185300,70.04053364,1,1.11E-16,-5.246427155,6.16E-14
Potri.015G029400,69.76807096,1,1.11E-16,-4.605965509,6.16E-14
Potri.003G120600,69.53446714,1,1.11E-16,1.907744095,6.16E-14
Potri.008G156600,69.17019116,1,1.11E-16,4.360574688,6.16E-14
Potri.002G154100,68.90877844,1,1.11E-16,-3.870695486,6.16E-14
Potri.018G083700,68.7997509,1,1.11E-16,1.882554,6.16E-14
Potri.017G144541,68.72311584,1,1.11E-16,2.181173379,6.16E-14
Potri.007G110500,68.67675125,1,1.11E-16,-3.874381801,6.16E-14
Potri.006G199500,68.06608708,1,1.11E-16,-4.182635393,6.16E-14
Potri.008G142700,67.55544055,1,2.22E-16,-4.088377173,1.10E-13
Potri.004G068500,67.53069485,1,2.22E-16,-3.456304225,1.10E-13
