Subdirectory name (must be inside data/),Sample name (any name you prefer),Min. number of cells expressing a gene,Min. number of genes a cell must express to be included,Maximum number of genes a cell can express and still be included,Maximum percentage of genes belonging to the mitochondrial genome
Nuclei_rep1,Nuclei,3,1200,7000,
Nuclei_rep,Nuclei,3,1200,7000,
Phloem5,Protoplast,3,2000,9000,
Phloem6,Protoplast,3,2000,9000,
Phloem7,Protoplast,3,2000,9000,
Phloem8,Protoplast,3,2000,9000,
Xylem5,Protoplast,3,2000,9000,
Xylem6,Protoplast,3,2000,9000,
Xylem7,Protoplast,3,2000,9000,
Xylem8,Protoplast,3,2000,9000,
